id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
108,Sokoto,Q2 2021,35,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
109,Taraba,Q2 2021,28,0,1,0,0,3,0,2,21,0,1,0,0,0,0,0,21
110,Yobe,Q2 2021,24,0,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0
111,Zamfara,Q2 2021,35,1,5,0,0,2,0,5,0,0,4,1,0,0,0,0,3
112,Abia,Q3 2021,4,0,5,0,5,0,0,4,2,0,3,0,0,1,0,0,0
113,Adamawa,Q3 2021,66,0,2,1,0,0,0,15,1,0,4,6,0,0,0,0,0
114,Akwa Ibom,Q3 2021,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
115,Anambra,Q3 2021,20,0,4,1,32,0,0,5,1,0,9,56,0,3,0,0,3
116,Bauchi,Q3 2021,69,0,7,7,0,2,1,15,6,1,8,0,4,0,1,0,5
117,Bayelsa,Q3 2021,16,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0
118,Benue,Q3 2021,37,0,0,0,1,0,0,2,7,0,0,0,0,1,0,0,0
119,Borno,Q3 2021,9,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1
120,Cross River,Q3 2021,24,0,5,1,1,0,0,7,0,0,0,0,0,0,0,1,0
121,Delta,Q3 2021,30,0,2,4,2,0,2,3,0,0,6,0,2,0,0,0,15
122,Ebonyi,Q3 2021,19,0,4,2,0,0,0,4,0,0,1,0,0,0,0,0,0
123,Edo,Q3 2021,68,0,2,3,7,0,0,11,1,0,0,0,0,0,0,0,5
124,Ekiti,Q3 2021,30,0,0,0,6,0,0,3,2,3,1,0,0,1,0,0,14
125,Enugu,Q3 2021,45,0,6,1,21,0,0,7,2,0,1,0,0,0,0,0,17
126,FCT,Q3 2021,260,0,12,0,3,2,0,5,19,1,25,4,0,0,0,2,87
127,Gombe,Q3 2021,38,3,5,1,1,0,0,7,8,0,3,5,0,1,0,0,11
128,Imo,Q3 2021,10,0,2,1,4,0,0,3,3,0,2,0,0,1,0,0,1
129,Jigawa,Q3 2021,89,0,8,1,0,7,1,3,2,0,8,5,0,0,2,0,6
130,Kaduna,Q3 2021,118,0,7,3,2,3,0,29,2,2,11,0,0,0,0,1,16
131,Kano,Q3 2021,16,0,4,0,1,0,0,3,8,0,0,0,0,0,0,0,1
132,Katsina,Q3 2021,21,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0
133,Kebbi,Q3 2021,41,0,0,1,0,1,0,4,8,0,2,0,0,0,0,1,0
134,Kogi,Q3 2021,72,0,5,4,7,0,0,9,6,0,8,1,1,0,0,1,21
135,Kwara,Q3 2021,65,0,5,5,3,0,0,7,4,0,1,1,1,0,0,0,14
136,Lagos,Q3 2021,71,1,2,13,15,0,0,9,10,2,8,0,1,0,1,2,0
137,Nasarawa,Q3 2021,126,0,9,1,4,1,0,32,34,0,9,1,0,0,0,0,37
138,Niger,Q3 2021,162,2,5,0,2,0,0,27,6,0,11,3,0,0,0,25,26
139,Ogun,Q3 2021,253,0,6,19,2,1,1,10,5,0,12,0,0,2,0,0,0
140,Ondo,Q3 2021,72,0,2,1,4,0,1,11,12,5,4,1,0,0,0,0,0
141,Osun,Q3 2021,78,0,8,4,6,1,0,17,9,2,9,0,0,0,0,0,0
142,Oyo,Q3 2021,88,1,14,4,11,0,0,18,6,2,7,1,0,0,0,4,3
143,Plateau,Q3 2021,23,0,4,5,15,0,0,9,10,0,0,2,0,0,0,0,2
144,Rivers,Q3 2021,16,0,2,0,2,0,0,6,4,0,5,0,0,0,0,0,0
145,Sokoto,Q3 2021,26,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0
146,Taraba,Q3 2021,18,0,0,0,0,1,0,6,15,0,2,0,4,0,0,0,20
